Bolivia,United States,46
Marshall Islands,United States,77
Ireland,United States,231
Malaysia,United States,1
Japan,United States,1383
Singapore,United States,25
Spain,United States,422
Bermuda,United States,183
Czech Republic,United States,21
Belgium,United States,408
Afghanistan,United States,11
Saint Lucia,United States,116
United Kingdom,United States,1629
Portugal,United States,102
Angola,United States,14
Nigeria,United States,16
Uruguay,United States,54
"Bonaire, Sint Eustatius, and Saba",United States,16
