United States,Austria,34
"Bonaire, Sint Eustatius, and Saba",United States,16
Senegal,United States,29
United Arab Emirates,United States,165
Grenada,United States,65
Cape Verde,United States,18
United States,Algeria,1
United States,Cape Verde,18
Cyprus,United States,2
United States,Romania,1
United States,Uruguay,24
Trinidad and Tobago,United States,187
Spain,United States,422
Qatar,United States,41
Germany,United States,1392
United States,Philippines,116
Philippines,United States,132
Palau,United States,31
United States,Spain,442
Austria,United States,36
United States,Chile,176
Hungary,United States,14
United States,Saint Vincent and the Grenadines,16
Ghana,United States,27
Japan,United States,1383
United States,Czech Republic,22
United States,Cameroon,1
United States,Guatemala,333
Haiti,United States,238
United States,Switzerland,334
Bulgaria,United States,1
United States,Taiwan,252
United States,Jordan,51
United States,Bosnia and Herzegovina,1
United States,Suriname,13
United States,Jamaica,757
Colombia,United States,785
United States,France,776
United States,British Virgin Islands,47
United States,Hungary,15
United States,Anguilla,20
Honduras,United States,391
Saint Lucia,United States,116
United States,Uganda,1
United States,Sweden,73
United States,Saint Lucia,121
Saint Kitts and Nevis,United States,113
United States,Estonia,1
Kuwait,United States,26
The Bahamas,United States,903
Cayman Islands,United States,247
